restaurant_name,restaurant_user_name,restaurant_user_review
SWeL Restaurant,Tammy L.,"This was a 5 star experience. The staff was nice and friendly, the restaurant was clean, and the food was amazing. I ordered the goat cheese appetizer, and ate it alll to myself. I will say that I think the menu described this as being accompanied by crostini, but it was actually sliced baguette.... I also ordered the pepperoni pizza. The price was okay, not untrainable, but not cheap. The pizza was delicious. The crust was thin and light. The pepperoni was crispy..yum! And I ordered the caesar salad, which was well dressed and delicious. I want to back here again tonight!!!
The only problem is that the space is small and so are the tables. If you have 4 people all ordering food, the table gets really crowded....but that's not so important when the food is bomb."
SWeL Restaurant,Meagan I.,"This place was too cute not to try when we visited.
The atmosphere is intimate and perfect for a date.
However........ Called in to see if a reservation was necessary. I don't know if it was too loud for the girl to hear or she was new. I asked if it was busy and if I needed a reservation for that night two hours later. She said it wouldn't be bad but took the reservation anyway. We showed up two hours later to no reservation. Luckily we were sat right away regardless. I received a text the next day for a reservation; we had left the state by then.
Once we got our table, a bartender asked if we were ready to order but we needed another minute. No one came back for 20 minutes until we flagged someone down. All tables around us had their drink and food orders taken and were check on multiple times. Half hour later the bartender came back. Cool.
Luckily, the food is worth it. We started with the CHEESY SCALLOP appetizer. It was piping hot and super delicious. Swerved with some toasted bread. I couldn't stop eating!
CALAMARI came out the same time and it did not disappoint. We loved that it wasn't breaded. It was cooked perfectly and the seasoning was great.
The SEAFOOD PASTA was amazing. Loved the sauce. It was creamy and perfect. The seafood was plentiful and cooked well. I would definitely go back for the food."
SWeL Restaurant,Lynn B.,"A lovely chill atmosphere with soothing, breezy, jazzy music, great cocktails and gourmet versions of pizza, pastas, Cesar salad and more. A lovely grown up place to enjoy with your special someone. We will definitely be back. We had.....the caesar salad starter ... with a light and fresh version of homemade cesar dressing, the hand tossed pizza with pears, gorgonzola and pine nuts ... the crust was light and crunchy without tasting like a cracker..still had that nice yeasty flavor of a thicker crust, and the tagliatelle creamy herbed sauce with Homemade Italian sausage added...just the right amount of fennel. Super delicious! A perfect date night spot. Or, if you're by yourself or just chilling with a friend, there's lots of bar space and really friendly staff. Knowledgeable bartenders too. Nice selection of craft beers, wines and cocktails."
SWeL Restaurant,Jenny G.,"Food is all delicious. My friend had a pizza and it came out with a bottle of chili oil (genius) to drizzle. I had the Caesar salad and it was great. The large was a perfect entree size and I could have added protein if I'd been more hungry, including salmon or shrimp for those of us avoiding meat/poultry. The waitstaff was friendly and professional. The atmosphere was nice though we were there on a slow night, I think it would feel a bit cramped if full. The music (like most restaurants these days) was too loud but our waitress was happy to turn it down a bit when we asked. The only let down was the wine list. By-the-glass selections were limited, it was all overpriced, and the pours were stingy. I had the most expensive red (we were celebrating) and the waitress said it was by far the best of the options (there were only three) at $15 a glass. It was meh. The others were $10.
Overall would definitely go again to eat, but would get a beer :)"
SWeL Restaurant,Ashley B.,Super cute place to go for date night. We went for dinner on a Saturday and were super impressed with our server. She explained the menu but didn't over do it and we felt zero pressure. We ended up each getting a glass of wine and splitting a Caesar salad and the pepperoni pizza. Both SO good. The pizza was a thinner crust too so we didn't feel stuffed which was a bonus. We'll definitely be going back!
SWeL Restaurant,Odulami B.,I thought we were going to a great pizza joint bu SWeL turned out to be so much more. Great location for a group celebration or a fun date night. The pIZZA WAS PHENOMENAL bUt not the best thing on the menu in my book. The Chicken and Carne Asada entrees were delicious. The humus is a must as an appetizer which outshined the bruschetta. The Mint gin Julep tops their lists of creative libations. Make a reservation if you want to spend your time wisely.
SWeL Restaurant,Ryan S.,"The food and atmosphere were fabulous. The menu was simple, yet very complete. We sat down with friends for a night out on the town. They had an excellent wine list with a broad range of wines and specialty drinks. The food items were fabulous. We ordered the Hummas as an appetizer and a pizza for the main course. Both were excellent (presentation and taste). And the service was outstanding as well. Our server was helpful, but other members of the staff were constantly around and ensuring we were taken care of.
Highly..highly recommended. We will be back."
SWeL Restaurant,Arielle F.,"Stopped in on a Thursday night for dinner. My friend and I were in the mood for something light so...we obviously landed on wood fire pizza! :)
We were seated right away and the service throughout dinner was great. I got the pepperoni pizza and my friend got the Italian sausage. We both had a few glasses of wine (hey, what's pizza without wine, am I right?) and split the flourless mousse at the end. The food was really excellent - the pizza was cooked perfectly with a thin crispy crust with just enough sauce and toppings to leave us satisfied but not overly full! The mousse was smooth and rich but also surprisingly light.
The space inside is super cute. Other reviews mentioned it was too dark but I thought the ambience was good and it's beautifully decorated. I will be back!"
SWeL Restaurant,Megan R.,"Wow, just so good! Ambience super sexy. Service very welcoming and friendly. Food, WOW!
I guess Swel means ""shit we like"" and that's the theme of their menu. Love it!
Pizza good and the linguini is very flavorful and so much seafood.
BUT the scallop dip is out of control! Tried once as an app and it brought me back for dinner last night. It's creamy, perfect citrus, spice and just so different but I keep wanting more!
Been twice, both time we've had good experiences. I would recommend for sure."
SWeL Restaurant,Diksha N.,"A dim lighted - romantic restaurant which beckons for date nights. I came here for my birthday and we were seated in the individual cabana seating. We had rosè and some red wine with the beet salad which was lovely and very flavorful.
The service was excellent and prompt. We had the pear and gorgonzola pizza ( such a delicious pairing) one of the most exquisite combinations I could not have fathomed.
For dessert we had the bread pudding against my usual chocolate cravings. The waitress put a candle for my birthday. A little too sweet for my taste but my husband polished it off !."
Zig Zag Cafe,Jessica M.,"I was traveling alone for business and wanted a relaxed, upbeat place to grab dinner and a drink at the bar. This place fit the bill with great food and a fun vibe. The staff was very friendly and helpful, especially when they mailed the shopping bag I left behind back to me in Philadelphia.
I will definitely make sure to stop back in the next time I'm in town."
Zig Zag Cafe,Jenny Z.,"Came here tonight for an impromptu dinner date and left very satisfied. This place, besides being slightly hard to find, is the cutest little nook in downtown Seattle. You feel as if you're in a completely different world vs the touristy pike place corridor.
We arrived around 6:55 PM and were pleasantly surprised it was still happy hour. The deal is actually quite good - $4 off cocktails! I ordered a mezcal cocktail (what's new?) and husband ordered old fashioned. We asked for them less sweet and they turned out great. Mine had a ginger syrup which was different vs most mezcal cocktails I've ordered!
For food, ordered brussel sprouts and beet deviled eggs to start, and split the mussels and burger for the mains. The brussel sprouts were recommended by the server. They were good, not great. Felt like I could make them myself and wouldn't order again for $12. The deviled egg was the perfect party in my mouth and something I had never tasted before! It had a slice of anchovy in it which sounds odd but tasted amazing. Burger was perfectly cooked with a nice crispy bun. The fries were cooked crisp to perfection. Mussels were in perhaps the best sauce I've ever had.
Overall food was so tasty, service was quick and attentive despite restaurant being completely full, and menu comprehensive! Will come back for sure - especially now that we know HH runs until 7 pm on weekdays!"
Zig Zag Cafe,Vincent C.,"I came to Zig Zag for dinner and had a great experience in the end. My visit didn't start off great, though. The service was slow. On the night I was at Zig Zag, the restaurant was no more than 50% full. Nevertheless, I still waited nearly 25 minutes for my food.
That being said, the food was definitely worth the wait. I had the Wild Mushroom Farro, and it was the best farro I've ever had in my life! The flavor was completely balanced, with no one ingredient dominating the dish. I was also impressed with how they incorporated huckleberry into the dish. On top of that, the sauce - which I'm told was just vegetable stock with butter - was phenomenal. My only minor complaint was that some of the cauliflower was burnt. But the dish was so perfect in every other way that I can definitely overlook the cauliflower."
Zig Zag Cafe,Yael G.,"Met a friend here for some cocktails and it was really nice. I appreciated the vibe and that it wasn't super crazy loud. We got to hang out at a standing table and order our first drink before a table opened up, but it wasn't long until one did even though it was Friday night. The drink selection was awesome, and everything we ordered was great (and cleverly named). We also enjoyed our reasonably priced olives and Marcona almonds... good food, great drinks, nice vibe..."
Zig Zag Cafe,Melanie Y.,"Came here for a drink Saturday night.
Cool, chill, vibe. Super low key. Little bit hidden but follow the signs down the stairs. We didn't have to wait and were seated right away. We got two cocktails and be warned they are super strong.
They have a large selection of different kinds of drinks as well as a late night menu. We didn't try any of the food but it all looked amazing."
Zig Zag Cafe,Susan R.,"Wow what a great find on a work trip! There's so many places to choose from right here in the Pike Place Market area. Lucky me, I landed at Zig Zag!
Service from Anna and Erin was spot on a dm fabulous. Technically, I believe Anna was my server yet Erin bought several things and was very attentive as well. It kinda worked as tag team service and that was just fabulous!
All the food was spot on, they had plenty of gluten-free options and the happy hour wine was very good.
My only complaint is that I ate way too much because the food was so great! My hotel is around one plus miles ...uphill. Ugh. It'll be good for me, right?!? Super good, I'll be back!"
Zig Zag Cafe,Alex O.,"This place savings grace is there zig zag burger with the fried egg. That was absolutely delicious. The yolk just gushed out everywhere. Felt like I was eating a breakfast sandwich one minute and then the next second a bacon cheese burger. Also the cheese just oozed out of everywhere. Very delicious. The fries were a bit too salty for my taste though. Score: 5/5
Their snacks were very boring. The baguette with the cultured butter was good though. It comes toasted but my only compliant is that I eat too fast and the outside of the bread is too hard :(
The cheese platter was smelly!!!! It's not my cup of tea but I'm sure other people will love it"
Zig Zag Cafe,Sidong H.,"As a tourist to Pike Market, it was fun to dig out this hidden gem. My bar tender friend suggest me here for cock tails. And yes, def a great spot for happy hour drinks then a walk around to enjoy the sunset.
The drink menu is huge, and the bartender is quite knowledgable about almost everything. I like the atmosphere too, as a weekday early evening, it's already a full house, towns of locals and tourists like me here for their happy hour.
I would def come back and try more items."
Zig Zag Cafe,Tomoko R.,"What a hidden(?) gem!
Great cozy restaurant and their service was fantastic. Small selections of wines but they were really good wines and reasonable.
Ordered A charcuterie plate, fried oysters, burgers and mussels. The plate was so tasty and the meats were perfectly cured, their mousse was just melt in my mouth.
Mussels were so plumped and juicy. Creamy curry? Sauce was as good as mussels. Their burgers were seasoned right and right size. Not to small or big.
Fried oysters were my fave. Small size and sweet. Everything we ordered was just divine. I would go back there for HH next time. Sooo laidback vibes and the foods were excellent!!"
Zig Zag Cafe,Erik B.,"Looking for a classy, undercover jazz cafe with dim lighting, friendly staff and sleek design that totally takes you away from everyday life? Your answer: Zig Zag Cafe. Skillfully tucked away from Pike's Place market, close to the waterfront, Zig Zag offered superbly crafted cocktails and the perfect aperitif options to take a breather prior to continuing our tour of the city.
The lighting is dimly lit with old antique bottles of wine (some unopened) and cozy red lighting that makes you feel stuck in time. Each table is decked out with a candle as humble chandeliers decorate the ceilings.
We ordered a dish of deliciously tasting green & black olives with the perfect amount of garlic and zest. Complimented by a dish of pita bread and heated hummus (spiced with paprika and garlic), the food was delicious! For my cocktail, I ordered an aperol spritz - aperol campari mixed with good quality prosecco and orange zest with enough punch to keep me going.
Overall outstanding dining experience. Highly recommend! A+"
Zig Zag Cafe,Cassandra C.,"I had a great experience here. I've heard a lot of good things about Zig Zig and I'm so happy I've finally made my way there to experience it myself. I ate the fries and deviled eggs off their late night menu. I loved the sultry smokey ambiance and the bartender was great. I just loved watching the art that goes into crafting their perfect cocktails. I had a simple Moscow mule, perhaps next time I'll try one of their house cocktails. The deviled eggs were so yummy! Maybe I'll be back soon to try more food!"
Zig Zag Cafe,Rica R.,Went with a small group of friends last night and we were seated pretty quickly. Drinks aren't super cheap but you definitely get your money's worth. Shared a squid pro quo and it was delicious. Only negative I would mention is that we were sitting near the door and it was a bit chilly.
Zig Zag Cafe,Jessica C.,"Nice atmosphere, wait staff prompt and friendly. Food was good. The fried clams and mussels were great. The whisky drinks even better. I love the red lighting and music."
Zig Zag Cafe,Owen W.,"Even though I'm a life long Seattleite, last night was my first time to the Zig Zag Café. The area around Pike Place is incredible now that the viaduct has been demolished, and I hope local businesses benefit from that. I loved the Zig Zag Café, excellent drinks, good food and great staff. Our server was very friendly and very accommodating when I realized too late that I had ordered something that didn't agree with my tastes. Much appreciated, and I won't wait so long for my next visit!"
Zig Zag Cafe,Cindy G.,"Dark and cozy, with delicious bites and strong cocktails. We had deviled eggs, the pork skins, and almonds and olives for snacks before dinner at Cutters. The eggplant dip with the pork skins was the highlight. It was silky smooth, and not like baba ganouj, if that's what you were thinking. There's an off-menu cocktail-with-a-story, if you're interested. Called the Chas, it's bourbon, Cointreau, and other potent tastiness. A Pike Place institution, you must come to Zig Zag if you're in Seattle."
Zig Zag Cafe,Adam C.,"We stumbled upon this restaurant walking from pikes place down the water before heading over the smith tower. Zig Zag has the best mixologist in Seattle with a wide range of spirits. The food was wonderful, the staff was great and it's in a good location. The mixed drinks were excellent. An eggplant dish was superb, perfectly cooked and with the right garnish. The place is very cozy and very relaxing. The server was great in giving suggestions and the drinks were great."
Zig Zag Cafe,Erin R.,"BEST HAPPY HOUR. So many fun drinks and yummy snacks. They have one of the most extensive cocktail menus I've ever seen and it was hard to decide on just one (okay, two) to try. For snacks we had the fries which have a great balance of salt and dress black pepper and the crispy pig skin which came with a fantastic aioli.
We arrived around 5:30 and were able to get a seat on their small patio, but the inside looked nice too if the patio is full."
Zig Zag Cafe,Alex P.,Definitely a place to visit and hang around. The barman was the best. And I don't even drink!
Zig Zag Cafe,AJ C.,Great place for a drink at dusk....very nice selection of drinks and food. Bartenders very knowledgeable
Zig Zag Cafe,Andrea G.,Had appetizers and drinks with a friend. Tasty all around! Fun little spot and nice patio area.
The Pink Door,Kevin M.,"An amazing, lovely restaurant with a beautiful view on the inside and out.
Came here for a special occasion with my S.O. Started with a half bottle of local wine and their meat and cheese board. The meats varied from fatty, to hard, to spicy, to earthy. The cheeses were a medium and a soft cheese. Sides of spicy mustard and slightly sweet jam. This was a delicious board that we almost finished in its entirety.
For dinner I had the rigatoni with meatballs. And she had the lasagna. Mmmm the rigatoni was cooked perfectly, with just enough of a bite. The sauce was bright and fresh, if not a bit sour. I would personally add a bit of sugar to offset, but it was delicious nonetheless.
I had a few bites of the lasagna, I have tasted few lasagnas that come close. The spinach gave the pasta an elegant green hue, and their cheese was melted to a perfect cream consistency. The layer of pesto really gave this dish the richness that made it so special. Highly recommend the lasagna.
Finally, we finished off with espresso and their cheesecake. The cheesecake was hazelnut flavored and was very good. The hazelnut creme was just sweet enough. If you are a fan of hazelnut you will like this. Otherwise I could have done with a different flavor cheesecake.
Overall the food was fantastic. And the location and decor made dinner that much more special. I couldn't imagine a cozier restaurant. Dinner felt intimate. And the service was good. I will be back!"
The Pink Door,Ryan J.,"The Pink Door is as amazing as everyone else claims it to be! From the unseemly entrance to the beautiful view and decor, this place has earned its prestige as one of the best Italian restaurants around.
With a place that is so well known in Seattle, they are quite humble with their entrance. Walking thru a not so busy alley, if you see a Pink Door you've arrived at the right place. Upon entry, you can see the cozy intimate decor. And in the back they have a fantastic view of Pike's Place waterfront.
They have a great selection of items on their menu that are both exquisite and delicious. My GF and I ordered the Pink Door Lasagna, Special squid ink pasta with mussels and shrimp, Arancini and Tuscan Fries to share. The TUSCAN FRIES WERE AMAZING! They fry it with sage, rosemary, and garlic which gives it a subtle yet addicting flavor. The Arancini was quite good, but I was truly impressed by the Lasagna. Although it comes in a small dish, this is really all you need. Layers of spinach pasta packed with rich bechamel sauce and pesto and marinara was to die for. This is certainly one of those dishes you eat slowly to just savor all of the flavors.
This is definitely a must try for those who love Italian food or just want to spend a romantic night out with someone special. Just make sure to reserve a table early in advance."
The Pink Door,Daisy V.,"Known for its pink door entrance, The Pink Door was something I was excited to try in Seattle.
Wow, the view and ambiance were amazing here. I recommend reserving an outdoor table if you can! The view is so nice and there's something about eating outside here during the day that makes you feel good.
The lasagna was delicious. I kept raving about it while eating! The service was great. The Pink Door is a charming place to stop by for lunch or dinner if in Seattle."
The Pink Door,Tamara D.,"We've been looking forward to coming here for weeks. I'm so glad we made reservations because when we got there 5 mins before opening, there was already a group of people waiting. By the time we were seated, the place was almost filled up.
I'd remarked on our reservation that we were celebrating our anniversary (15 years!!) and when we sat down the server brought out complimentary glasses of Prosecco for toasting. What a special touch!
We ordered several things I can't pronounce but this has to be one of the top tasting meals I've had. I always tell everyone about Mesa Grill in Vegas as the place I've had my best meal ever but this definitely rivals it. Such friendly staff, such great service, we will be back every time we are in town for sure."
The Pink Door,Sebastian T.,"This place not only has a great rep, but it can also back it up! I've come here a few times and I've always had great experiences. It is a pretty big space with lots of interesting features: aerial shows in the main dining room, live music, an amazing patio and inner section of the restaurant with gorgeous views of the water. This spot is really popular so I'd highly recommend reservations or you're easily looking at a 60 min+ wait.
While entrees here can cost $20-30 each, its nice to see that it's not fine dining to the extent where its tiny portions, but you get a nice hefty plate with great preparation. While the food I've had is good, it wasn't shockingly amazing. A solid 4/5 but you're really coming here for the overall ambience. I'd highly recommend coming here at least once to check it out! This place also is an amazing date spot!"
The Pink Door,Maggie S.,"Probably my favorite restaurant in Seattle...Pink Door never disappoints. I really appreciate the consistency of the quality of food and service! The perfect restaurant for casual dining with family or friends, and a romantic date night!
Winter Risotto | Must. Order. Creamy butternut squash risotto that warms up your entire heart...
Linguine Alle Vongole | The signature dish of pink door! This pasta dish never goes wrong; the white wine broth really elevates and balances out the flavor of the clam. Love this simple yet delicate dish!
Cioppino | Never a big fan of tomato broths but this one's different. The amount of seafood is worth the price and the tomato broth is light and smooth, so you won't get tired of it!
Northwest Fish of the Day | Not a must order, but good quality fish! The salmon is seared to perfection with a crispy layer of fatty skin and tender meat on the inside!
Tuscan Fries with Fried Herbs | The aioli is so tasty that we can't stop snacking on these fries!! Wish the flavors of the herbs are stronger..."
The Pink Door,Subail S.,"Love this restaurant, little bit pricey, but never disappoints.
You definitely need to reserve table if you want to sit in the main dining. My advice will be a week before to be on the safer side.
Went for dinner on our first anniversary. Didn't reserve the table early, so got the slot at 10:15 pm. :( but got the table with the best view.
Food is always good. They have one of the best oysters in the city. So highly recommended. Other foods are also good.
Only sad thing is they don't have lot of optIons for the people who are allergic to red meat and shrimp. So that was a bummer for my wife.
But still would like to go back again."
The Pink Door,Cindy C.,"It's hard to get a reservation for this place as it gets booked months and months in advance. Imagine my surprise and happiness when we snatched up an available lunch time that worked for a party of 2! We were also visiting from out of town, so really happy that it all worked out.
You can also be on standby and wait for a table, but it can be a long wait.
FOOD
We ordered the rabbit ragu pasta and cioppino soup.
The rabbit ragu pasta was better than I expected. The meat was tender, and the pasta had texture.
Cioppino soup was delicious! Exceeded my expectations a lot. There were plentiful pieces of seafood. I would recommend dipping the complimentary bread with the soup. I was full after the dish.
SERVICE
The servers were very attentive with refilling our water.
PARKING
It's in the heart of pike place where post ally is. If you are driving, there are parking available nearby."
The Pink Door,Elizabeth L.,"One of our go-to date spots, love Pink Door! Favorite seats are at the bar - fun bartenders, ample space to enjoy lovely live music and jazz while indulging in delicious house pastas.
Linguine Alle Vongole - obsessed with this dish. Baby clams in shell, pancetta, garlic, chilis in a light white wine sauce. Clams for days, linguine perfectly al dente.
Lasagna - an interesting house version with super thin sheets of spinach pasta, layered with bechamel and pesto, topped with marinara - flavorful artistry, no dull, heavy lasagna here.
Crab risotto - chockfull of crab! A beautiful risotto, albeit not as interesting as the linguine or lasagna
Service is friendly and professional - have always enjoyed excellent service at the bar. Reservations are recommended as waits can be formidable during peak hours, but if you come by on a whim, just put your name down and enjoy a drink at Radiator Whiskey, Rachel's Ginger Beer or any of the fun bars nearby!"
